date,value
2020-06-11T01:13:45,4546094
2020-06-11T01:14:46,4546094
2020-06-11T01:15:46,4545250
2020-06-11T01:16:47,4545250
2020-06-11T01:17:47,4545250
2020-06-11T01:18:48,4545248
2020-06-11T01:19:48,4544878
2020-06-11T01:20:49,4544870
2020-06-11T01:21:49,4544870
2020-06-11T01:22:50,4544868
2020-06-11T01:23:50,4544694
2020-06-11T01:24:51,4544694
2020-06-11T01:25:51,4544694
2020-06-11T01:26:52,4544354
2020-06-11T01:27:53,4546988
2020-06-11T01:28:53,4546988
2020-06-11T01:29:54,4546988
2020-06-11T01:30:54,4546980
2020-06-11T01:31:55,4546970
2020-06-11T01:32:55,4546970
2020-06-11T01:33:56,4546970
2020-06-11T01:34:56,4546972
2020-06-11T01:35:57,4546974
2020-06-11T01:36:58,4504822
2020-06-11T01:37:58,4505042
2020-06-11T01:38:59,4505042
2020-06-11T01:39:59,4505042
2020-06-11T01:41:00,4505042
2020-06-11T01:42:00,4505042
2020-06-11T01:43:01,4505042
2020-06-11T01:44:02,4502042
2020-06-11T01:45:02,4502116
2020-06-11T01:46:03,4502116
2020-06-11T01:47:04,4502116
2020-06-11T01:48:05,4503588
2020-06-11T01:49:06,4505384
2020-06-11T01:50:06,4505386
2020-06-11T01:51:07,4505392
2020-06-11T01:52:07,4505394
2020-06-11T01:53:08,4505396
2020-06-11T01:54:08,4505398
2020-06-11T01:55:09,4505400
2020-06-11T01:56:09,4505402
2020-06-11T01:57:10,4505580
2020-06-11T01:58:10,4545580
2020-06-11T01:59:11,4545580
2020-06-11T02:00:11,4547002
2020-06-11T02:01:12,4560392
2020-06-11T02:02:12,4562026
2020-06-11T02:03:13,4565068
2020-06-11T02:04:13,4580984
2020-06-11T02:05:14,4585802
2020-06-11T02:06:15,4585802
2020-06-11T02:07:15,4585802
2020-06-11T02:08:16,4586700
2020-06-11T02:09:16,4586700
2020-06-11T02:10:17,4586576
2020-06-11T02:11:17,4586576
2020-06-11T02:12:18,4586578
2020-06-11T02:13:18,4586580
2020-06-11T02:14:19,4586650
2020-06-11T02:15:19,4586650
2020-06-11T02:16:19,4586750
2020-06-11T02:17:20,4586806
2020-06-11T02:18:20,4586992
2020-06-11T02:19:21,4586992
2020-06-11T02:20:21,4587000
2020-06-11T02:21:22,4587000
2020-06-11T02:22:22,4587400
2020-06-11T02:23:23,4587402
2020-06-11T02:24:23,4587402
2020-06-11T02:25:24,4587402
2020-06-11T02:26:24,4587404
2020-06-11T02:27:25,4588248
2020-06-11T02:28:25,4588250
2020-06-11T02:29:26,4589760
2020-06-11T02:30:26,4589760
2020-06-11T02:31:27,4589760
2020-06-11T02:32:27,4589758
2020-06-11T02:33:28,4589754
2020-06-11T02:34:29,4588250
2020-06-11T02:35:29,4588252
2020-06-11T02:36:30,4588254
2020-06-11T02:37:30,4588254
2020-06-11T02:38:31,4588256
2020-06-11T02:39:31,4588256
2020-06-11T02:40:32,4588264
2020-06-11T02:41:32,4591516
2020-06-11T02:42:33,4591518
2020-06-11T02:43:33,4591520
2020-06-11T02:44:34,4591522
2020-06-11T02:45:34,4591524
2020-06-11T02:46:35,4591526
2020-06-11T02:47:35,4591526
2020-06-11T02:48:36,4591528
2020-06-11T02:49:36,4591978
2020-06-11T02:50:37,4591986
2020-06-11T02:51:37,4591986
2020-06-11T02:52:38,4597988
2020-06-11T02:53:38,4597990
2020-06-11T02:54:39,4597992
2020-06-11T02:55:39,4597994
2020-06-11T02:56:40,4597996
2020-06-11T02:57:40,4597996
2020-06-11T02:58:41,4597998
2020-06-11T02:59:41,4611372
2020-06-11T03:00:42,4611380
2020-06-11T03:01:42,4611380
2020-06-11T03:02:43,4611382
2020-06-11T03:03:43,4611384
2020-06-11T03:04:44,4611386
2020-06-11T03:05:44,4611388
2020-06-11T03:06:45,4611390
2020-06-11T03:07:45,4611390
2020-06-11T03:08:45,4611392
2020-06-11T03:09:46,4611392
2020-06-11T03:10:46,4611400
2020-06-11T03:11:47,4615656
2020-06-11T03:12:47,4615658
2020-06-11T03:13:48,4615660
2020-06-11T03:14:48,4615662
2020-06-11T03:15:49,4615664
2020-06-11T03:16:49,4615666
2020-06-11T03:17:50,4615816
2020-06-11T03:18:50,4615818
2020-06-11T03:19:51,4615818
2020-06-11T03:20:51,4615826
2020-06-11T03:21:52,4615826
2020-06-11T03:22:52,4615966
2020-06-11T03:23:53,4623080
2020-06-11T03:24:53,4623080
2020-06-11T03:25:54,4625868
2020-06-11T03:26:54,4625866
2020-06-11T03:27:55,4625866
2020-06-11T03:28:55,4625864
2020-06-11T03:29:56,4625864
2020-06-11T03:30:56,4625856
2020-06-11T03:31:57,4615148
2020-06-11T03:32:57,4610504
2020-06-11T03:33:58,4610502
2020-06-11T03:34:58,4610500
2020-06-11T03:35:59,4610498
2020-06-11T03:36:59,4610496
2020-06-11T03:38:00,4610496
